City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Kahului,US,2021-12-24 23:16:10,20.8947,-156.47,78.82,71,20,23.02
152,Alihe,CN,2021-12-24 23:19:27,50.5667,123.7167,-18.8,93,21,3.31
153,Homer,US,2021-12-24 23:19:28,59.6425,-151.5483,26.47,80,1,4.61
154,Canchungo,GW,2021-12-24 23:19:28,12.0672,-16.0333,75.33,75,98,5.73
155,Shitanjing,CN,2021-12-24 23:19:28,39.2342,106.3439,10.29,49,99,4.68
156,San Quintin,MX,2021-12-24 23:19:29,30.4833,-115.95,61.38,74,76,17.13
157,Grande Prairie,CA,2021-12-24 23:19:29,55.1667,-118.8027,-18.22,69,75,10.36
158,Sao Gabriel Da Cachoeira,BR,2021-12-24 23:19:30,-0.1303,-67.0892,80.13,76,45,2.53
159,Kudahuvadhoo,MV,2021-12-24 23:19:30,2.6708,72.8944,81.84,69,65,12.57
160,Valley Station,US,2021-12-24 23:19:31,38.1112,-85.8702,62.92,78,90,5.01
161,Sokoto,NG,2021-12-24 23:19:31,13.0609,5.239,71.42,19,4,10.76
162,Surt,LY,2021-12-24 23:19:31,31.2089,16.5887,58.55,73,0,5.75
163,Portland,US,2021-12-24 23:16:39,45.5234,-122.6762,41.83,92,90,4.0
164,Porto Walter,BR,2021-12-24 23:19:32,-8.2686,-72.7439,76.06,96,89,1.21
165,Mar Del Plata,AR,2021-12-24 23:17:11,-38.0023,-57.5575,72.88,82,100,11.01
166,Yumen,CN,2021-12-24 23:19:33,40.2833,97.2,12.65,65,2,14.45
167,Mastic Beach,US,2021-12-24 23:19:33,40.7668,-72.8521,37.67,89,90,0.0
168,Manaure,CO,2021-12-24 23:19:34,11.7751,-72.4445,80.71,76,58,14.58
169,La Paz,BO,2021-12-24 23:18:00,-16.5,-68.15,51.78,87,75,8.05
170,Comodoro Rivadavia,AR,2021-12-24 23:19:34,-45.8667,-67.5,76.86,33,0,12.66
171,Half Moon Bay,US,2021-12-24 23:15:21,37.4636,-122.4286,56.79,72,75,1.99
172,Nikolskoye,RU,2021-12-24 23:19:35,59.7035,30.7861,10.78,99,100,2.77
173,Nova Prata,BR,2021-12-24 23:19:35,-28.7839,-51.61,67.21,60,0,4.29
174,Mugur-Aksy,RU,2021-12-24 23:19:36,50.35,90.5,-3.75,46,43,5.77
175,Yashkul,RU,2021-12-24 23:19:36,46.1711,45.3435,18.84,71,11,9.6
176,Blois,FR,2021-12-24 23:19:37,47.5833,1.3333,49.37,95,100,5.91
177,Otaru,JP,2021-12-24 23:19:37,43.1894,141.0022,19.24,83,99,7.18
178,Blackwater,AU,2021-12-24 23:19:37,-23.5833,148.8833,74.84,76,99,11.72
179,Ponta Do Sol,PT,2021-12-24 23:19:38,32.6667,-17.1,66.83,86,100,13.42
180,Sambava,MG,2021-12-24 23:19:39,-14.2667,50.1667,75.38,89,73,5.1
181,Aklavik,CA,2021-12-24 23:19:39,68.2191,-135.0107,-6.88,77,90,8.05
182,Maniitsoq,GL,2021-12-24 23:19:39,65.4167,-52.9,28.54,50,12,6.49
183,New Norfolk,AU,2021-12-24 23:19:40,-42.7826,147.0587,68.76,41,57,3.0
184,Niigata,JP,2021-12-24 23:18:20,37.9022,139.0236,39.15,87,75,24.16
185,Chimbote,PE,2021-12-24 23:19:40,-9.0853,-78.5783,70.32,78,43,10.36
186,Quatre Cocos,MU,2021-12-24 23:19:41,-20.2078,57.7625,76.08,81,86,2.04
187,Sarkand,KZ,2021-12-24 23:20:41,45.41,79.9186,29.07,74,100,5.57
188,Victoria,HK,2021-12-24 23:17:16,22.2855,114.1577,67.24,84,31,5.01
189,Tolaga Bay,NZ,2021-12-24 23:20:42,-38.3667,178.3,66.13,81,96,14.23
190,Ilulissat,GL,2021-12-24 23:20:42,69.2167,-51.1,24.82,36,37,3.44
191,Coquimbo,CL,2021-12-24 23:16:20,-29.9533,-71.3436,62.33,88,0,11.5
192,Klaksvik,FO,2021-12-24 23:20:43,62.2266,-6.589,32.92,55,97,14.79
193,Dickinson,US,2021-12-24 23:20:43,29.4608,-95.0513,77.13,79,75,1.01
194,Fortuna,US,2021-12-24 23:20:43,40.5982,-124.1573,50.67,92,90,1.99
195,Birsk,RU,2021-12-24 23:20:44,55.4211,55.5428,-8.97,95,94,10.04
196,Saint-Pierre,RE,2021-12-24 23:20:44,-21.3393,55.4781,80.28,84,75,2.3
197,Port Elizabeth,ZA,2021-12-24 23:19:26,-33.918,25.5701,62.89,88,0,9.22
198,Charlottesville,US,2021-12-24 23:20:45,38.0293,-78.4767,59.02,66,100,4.16
199,Abasolo,MX,2021-12-24 23:20:45,20.45,-101.5167,81.34,13,0,4.59
200,San Policarpo,PH,2021-12-24 23:20:46,12.1791,125.5072,80.92,80,92,10.78
201,Iqaluit,CA,2021-12-24 23:20:46,63.7506,-68.5145,22.73,63,90,4.61
202,Saint-Philippe,RE,2021-12-24 23:20:47,-21.3585,55.7679,80.19,85,97,1.77
203,Payo,ID,2021-12-24 23:20:47,-3.7508,103.6372,71.2,98,82,1.59
204,Pangnirtung,CA,2021-12-24 23:20:47,66.1451,-65.7125,15.8,48,20,2.3
205,Deputatskiy,RU,2021-12-24 23:20:48,69.3,139.9,-36.27,100,85,3.65
206,Sorong,ID,2021-12-24 23:20:48,-0.8833,131.25,82.6,75,84,5.12
207,Youhao,CN,2021-12-24 23:20:49,47.8667,128.8333,-18.0,93,100,4.45
208,Ibra,OM,2021-12-24 23:20:49,22.6906,58.5334,64.35,62,0,3.4
209,Isangel,VU,2021-12-24 23:20:49,-19.55,169.2667,84.29,65,2,4.23
210,Farafenni,GM,2021-12-24 23:20:50,13.5667,-15.6,80.53,21,100,0.34
211,Masuguru,TZ,2021-12-24 23:20:50,-11.3667,38.4167,74.84,84,99,4.54
212,Panaba,MX,2021-12-24 23:20:51,21.2833,-88.2667,73.44,59,0,10.56
213,Lompoc,US,2021-12-24 23:20:51,34.6391,-120.4579,59.41,83,90,12.66
