City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
309,Puerto Carreno,CO,74.08,broken clouds,6.189,-67.4859,Casa Hotel Victoria
310,Tambura,SS,94.14,few clouds,5.6,27.4667,Rikito Lodge
314,Augusto Correa,BR,73.62,broken clouds,-1.0217,-46.635,Fazenda Bacuri
315,Inhambane,MZ,80.58,scattered clouds,-23.865,35.3833,Oceano
318,Alyangula,AU,80.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
319,Sao Joao Da Barra,BR,73.45,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
320,Birao,CF,88.88,overcast clouds,10.2849,22.7882,
322,Benguela,AO,78.55,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
333,Bandarbeyla,SO,80.56,broken clouds,9.4942,50.8122,JABIR HOTEL
338,Cururupu,BR,74.03,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
340,Neiafu,TO,81.59,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
341,Broken Hill,AU,89.31,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
342,Mitu,CO,71.24,overcast clouds,1.1983,-70.1733,
343,Nanakuli,US,75.15,clear sky,21.3906,-158.1547,Camp Pālehua
348,Morondava,MG,87.06,overcast clouds,-20.2833,44.2833,La Case Bambou
351,Gorom-Gorom,BF,74.23,overcast clouds,14.4439,-0.2361,
352,Ibra,OM,79.3,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
353,Beira,MZ,93.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
354,Hobyo,SO,81.01,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
355,Bankura,IN,75.29,few clouds,23.25,87.0667,Hotel Priyadarsini
356,Amapa,BR,71.2,overcast clouds,1.0,-52.0,
357,Victor Harbor,AU,77.09,clear sky,-35.5667,138.6167,McCracken Country Club
362,Chakradharpur,IN,74.3,scattered clouds,22.7,85.6333,SPOT ON 49653 Rajasthan Guest House SPOT
366,Kupang,ID,84.78,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
367,Macapa,BR,78.78,broken clouds,0.0389,-51.0664,Atalanta Hotel
370,Gambo,CF,89.47,broken clouds,4.6482,22.2633,
372,Ribas Do Rio Pardo,BR,74.53,few clouds,-20.4431,-53.7592,Pousada Avenida
377,Mlimba,TZ,94.46,broken clouds,-8.8,35.8167,California Lodge
381,Tirumullaivasal,IN,81.73,broken clouds,11.2333,79.8333,Almupaark complex
382,Victoria Point,AU,72.95,overcast clouds,-27.5833,153.3,Bay Retreat Motel
383,Berekum,GH,82.65,broken clouds,7.4534,-2.584,Nyame Nnae Hotel
388,Arlit,NE,70.57,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
389,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
395,Tual,ID,83.62,moderate rain,-5.6667,132.75,Grand Vilia Hotel
400,Mogadishu,SO,85.87,few clouds,2.0371,45.3438,Hotel Juba
401,Koster,ZA,74.86,clear sky,-25.863,26.8976,Klub Kranskuil
404,Richards Bay,ZA,80.2,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
407,Nandigama,IN,84.0,few clouds,16.7833,80.3,Radisson
408,Kalangala,UG,73.87,overcast clouds,-0.3089,32.225,Ssese Habitat Resort
410,Sibu,MY,79.11,thunderstorm with rain,2.3,111.8167,RH HOTEL (4 Star)
412,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
415,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
417,Kabanjahe,ID,74.16,broken clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
419,Danielskuil,ZA,71.67,clear sky,-28.1887,23.5395,Botha'Sig Gastehuis
420,Tarakan,ID,81.9,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
422,Rafai,CF,92.21,broken clouds,4.95,23.9167,
424,Nkhotakota,MW,88.7,few clouds,-12.9274,34.2961,Sitima Inn
427,Mackay,AU,82.38,scattered clouds,-21.15,149.2,International Lodge Motel
430,Teluk Nibung,ID,83.14,overcast clouds,3.001,99.8164,Hotel Assyifa
433,Ipoti,NG,83.57,broken clouds,7.8738,5.0769,Sege Alakani Hotel
438,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
440,Kidal,ML,71.2,few clouds,18.4411,1.4078,
443,San Patricio,US,73.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
445,Doha,QA,73.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
446,Phulabani,IN,78.91,scattered clouds,20.4667,84.2333,Hotel Raj Kamal
448,Namibe,AO,76.89,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
451,Enfield,AU,79.79,clear sky,-34.8526,138.6026,Country Comfort Hotel Adelaide Manor
453,Yeppoon,AU,71.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
454,Poum,NC,82.09,broken clouds,-20.2333,164.0167,Gîte kajeon
459,Pak Phanang,TH,89.62,few clouds,8.3511,100.202,Green Park Inn Hotel
464,Ambon,ID,80.74,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
468,Sompeta,IN,77.34,few clouds,18.9333,84.6,Netaji's Home
474,Nioro,GM,78.55,clear sky,13.35,-15.75,
477,Minab,IR,80.1,clear sky,27.1467,57.0801,Bam campground
480,Bathsheba,BB,74.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
485,San Policarpo,PH,78.85,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
488,Ambovombe,MG,83.25,overcast clouds,-25.1667,46.0833,RELAHARA
489,Biak,ID,80.04,overcast clouds,-0.9131,122.8766,Penginapan Kim
490,Montepuez,MZ,94.84,overcast clouds,-13.1256,38.9997,PembaAparthotel
493,Kulhudhuffushi,MV,81.95,broken clouds,6.6221,73.07,Haajy Guest House 1
498,Ondjiva,AO,89.02,broken clouds,-17.0667,15.7333,COMBUESA
500,Porto Nacional,BR,75.2,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
501,Bani,DO,73.85,few clouds,18.2833,-70.3333,Hospedaje Henriquez
505,Balabac,PH,81.16,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
506,La Primavera,CO,74.75,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
507,Praya,CV,70.34,clear sky,14.9215,-23.5087,LT Aparthotel
508,Bima,ID,83.17,scattered clouds,-8.4667,118.7167,Lambitu Hotel
515,Conceicao Do Araguaia,BR,70.45,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
516,Teknaf,BD,78.51,clear sky,20.8624,92.3058,Forestry Guesthouse
517,Vao,NC,77.34,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
518,Segamat,MY,89.42,overcast clouds,2.5148,102.8158,VIP HOTEL
520,Torit,SS,94.71,scattered clouds,4.4133,32.5678,Diplomat Guest House
523,Fare,PF,80.69,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
530,Barberton,ZA,82.45,scattered clouds,-25.7884,31.0532,Barberton B&B
531,Saint-Leu,RE,83.68,scattered clouds,-21.15,55.2833,La Caz Oceane
534,Acapulco,MX,73.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
536,Marzuq,YE,77.31,clear sky,14.4,46.4667,
537,Savalou,BJ,85.86,broken clouds,7.9281,1.9756,Hotel F&F
538,Iracoubo,GF,76.77,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
542,Taganak,PH,75.34,moderate rain,6.0833,118.3,Taganak
544,Cootamundra,AU,71.94,scattered clouds,-34.65,148.0333,Cootamundra Gardens Motel & indian restaurant
546,Omboue,GA,78.94,overcast clouds,-1.5746,9.2618,Hotel Olako
548,Lucea,JM,78.66,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
552,Atar,MR,72.39,broken clouds,20.5169,-13.0499,Oumou Elghoura
553,Sembe,CG,89.35,overcast clouds,1.6481,14.5806,
557,Carutapera,BR,74.89,overcast clouds,-1.195,-46.02,Lidera
562,Karratha,AU,94.08,clear sky,-20.7377,116.8463,ibis Styles Karratha
563,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
565,Pauini,BR,73.89,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
567,Tabou,CI,81.95,scattered clouds,4.423,-7.3528,hotêl doufoulougou
568,Morada Nova,BR,76.17,overcast clouds,-5.1067,-38.3725,PIZZARIA MARIANA
572,Diamantino,BR,70.95,broken clouds,-14.4086,-56.4461,Hotel Delta
573,Mareeba,AU,73.44,light rain,-17.0,145.4333,Trinity Plains Tourist Park
577,Trinidad,BO,73.04,overcast clouds,-14.8333,-64.9,Hotel Piesta
578,Matara,LK,87.55,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
579,Bariri,BR,70.95,few clouds,-22.0744,-48.7403,San Francisco Hotel
