City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
173,Severo-Kurilsk,RU,2021-12-28 08:31:58,50.6789,156.125,30.36,91,98,11.61,light snow
174,Songjianghe,CN,2021-12-28 08:31:59,42.1859,127.479,9.39,84,1,5.75,clear sky
175,Viesca,MX,2021-12-28 08:31:59,25.35,-102.8,66.07,27,0,7.67,clear sky
176,Nanortalik,GL,2021-12-28 08:32:00,60.1432,-45.2371,24.04,65,6,7.47,clear sky
177,Lorengau,PG,2021-12-28 08:32:00,-2.0226,147.2712,82.62,79,99,7.07,overcast clouds
178,Ca Mau,VN,2021-12-28 08:32:01,9.1769,105.15,83.5,69,100,10.31,overcast clouds
179,Bambous Virieux,MU,2021-12-28 08:32:01,-20.3428,57.7575,84.45,70,40,8.05,scattered clouds
180,Gat,IL,2021-12-28 08:29:04,31.61,34.7642,60.91,100,100,4.9,overcast clouds
181,Lai,TD,2021-12-28 08:32:02,9.3952,16.2989,82.94,16,100,8.12,overcast clouds
182,Zhigansk,RU,2021-12-28 08:33:02,66.7697,123.3711,-21.78,98,69,10.27,broken clouds
183,Hofn,IS,2021-12-28 08:33:03,64.2539,-15.2082,29.64,66,2,17.52,clear sky
184,Mereni,RO,2021-12-28 08:33:03,44.05,28.3667,32.02,80,96,10.4,overcast clouds
185,Saskylakh,RU,2021-12-28 08:33:04,71.9167,114.0833,-32.19,100,92,1.54,overcast clouds
186,Pitimbu,BR,2021-12-28 08:33:04,-7.4706,-34.8086,77.59,78,26,11.03,scattered clouds
187,Amahai,ID,2021-12-28 08:33:04,-3.3333,128.9167,78.84,81,100,5.61,overcast clouds
188,Victoria,HK,2021-12-28 08:32:13,22.2855,114.1577,66.18,75,27,5.01,scattered clouds
189,Mar Del Plata,AR,2021-12-28 08:29:18,-38.0023,-57.5575,67.08,85,0,1.99,clear sky
190,Saint Anthony,US,2021-12-28 08:31:05,45.0205,-93.218,9.55,75,1,1.99,clear sky
191,Belaya Gora,RU,2021-12-28 08:33:05,68.5333,146.4167,-39.69,100,98,2.82,overcast clouds
192,Westport,US,2021-12-28 08:33:06,41.1415,-73.3579,41.76,94,90,1.01,mist
193,Krasnoselkup,RU,2021-12-28 08:33:06,65.7,82.4667,9.16,93,100,20.09,light snow
194,Aviles,ES,2021-12-28 08:33:07,43.5547,-5.9248,67.39,63,75,10.36,broken clouds
195,Faanui,PF,2021-12-28 08:33:07,-16.4833,-151.75,80.19,70,88,6.62,overcast clouds
196,Port Hardy,CA,2021-12-28 08:30:26,50.6996,-127.4199,26.76,86,90,4.61,light snow
197,Salalah,OM,2021-12-28 08:33:08,17.0151,54.0924,80.69,57,0,11.5,clear sky
198,Villa Bisono,DO,2021-12-28 08:33:08,19.5638,-70.8758,66.81,92,0,4.59,clear sky
199,Bhuj,IN,2021-12-28 08:33:09,23.2667,69.6667,74.39,46,25,12.86,scattered clouds
200,Imeni Poliny Osipenko,RU,2021-12-28 08:33:09,52.4201,136.4853,-31.16,100,26,0.98,scattered clouds
201,Fukue,JP,2021-12-28 08:33:09,32.6881,128.8419,46.76,71,75,3.44,broken clouds
